applicant_id,age,annual_income,employment_years,loan_amount,loan_term_months,credit_score,debt_to_income,num_prior_defaults,home_ownership,loan_purpose,defaulted
A301484,21,54400.0,6.7,6200,24,649.0,0.244,0,RENT,other,0
A300570,21,58200.0,4.2,7000,24,524.0,0.152,0,RENT,major_purchase,1
A300107,37,108100.0,4.7,21000,60,636.0,0.057,0,RENT,medical,0
A301386,31,83400.0,9.1,12600,36,734.0,0.303,0,RENT,debt_consolidation,0
A301568,62,86300.0,5.7,19700,48,689.0,0.469,0,RENT,other,0
A300544,68,64800.0,6.7,17900,24,785.0,0.305,0,RENT,medical,0
A300484,57,72700.0,2.9,16600,12,534.0,0.12,1,RENT,medical,0
A300920,61,65700.0,13.4,8600,48,682.0,0.209,0,OWN,debt_consolidation,0
A300801,64,,9.0,25800,36,666.0,0.344,0,RENT,debt_consolidation,1
A300456,49,73400.0,4.8,12000,48,690.0,0.121,0,OWN,other,1
A300862,23,103700.0,6.5,31000,36,685.0,0.465,2,rent,other,1
A300080,55,112900.0,1.9,10100,48,613.0,0.22,0,MORTGAGE,home_improvement,0
A300309,65,47300.0,1.1,11000,48,604.0,0.372,0,RENT,medical,0
A300612,27,108700.0,12.5,12600,48,561.0,0.246,1,MORTGAGE,major_purchase,0
A300550,51,49400.0,4.3,7200,36,646.0,0.408,0,RENT,other,1
A300626,32,91400.0,3.9,5300,24,579.0,0.249,0,MORTGAGE,medical,0
A300505,35,66100.0,5.7,14600,48,613.0,0.528,0,RENT,major_purchase,1
A301224,49,39200.0,12.7,24200,36,736.0,0.163,0,OWN,debt_consolidation,0
A300892,31,35200.0,9.0,11800,12,638.0,0.42,1,RENT,home_improvement,1
A301125,53,91800.0,2.3,48100,48,736.0,0.267,0,RENT,debt_consolidation,1
A300434,66,,1.2,26700,36,695.0,0.243,0,MORTGAGE,debt_consolidation,0
A301429,42,90800.0,3.3,34300,36,670.0,0.057,0,MORTGAGE,debt_consolidation,0
A301309,51,52600.0,3.7,13600,24,542.0,0.344,0,MORTGAGE,home_improvement,1
A300065,54,41100.0,1.0,9600,36,692.0,0.189,1,OWN,debt_consolidation,0
A300609,35,41700.0,7.6,13100,36,616.0,0.38,0,MORTGAGE,home_improvement,1
A300344,32,40700.0,17.6,14700,24,720.0,0.338,0,MORTGAGE,debt_consolidation,1
A301324,65,122500.0,6.4,17800,60,743.0,0.275,0,RENT,debt_consolidation,0
A300780,30,25700.0,14.0,20600,36,691.0,0.119,3,OWN,major_purchase,1
A301533,34,84500.0,1.1,17000,48,647.0,0.02,0,MORTGAGE,debt_consolidation,0
A301405,24,101200.0,5.0,12500,36,652.0,0.27,0,RENT,other,0
A301508,36,86700.0,5.6,12400,36,677.0,0.288,0,MORTGAGE,debt_consolidation,0
A300702,29,53200.0,2.9,25500,60,703.0,0.189,0,MORTGAGE,home_improvement,0
A300174,62,70600.0,6.3,15100,24,691.0,0.466,0,MORTGAGE,home_improvement,0
A300772,36,36800.0,20.9,9300,36,636.0,0.137,0,OWN,debt_consolidation,0
A301084,48,64500.0,1.7,7500,12,556.0,0.223,0,MORTGAGE,medical,0
A300269,38,20500.0,1.4,13700,48,771.0,0.118,2,RENT,debt_consolidation,0
A301564,36,97200.0,9.7,8800,36,670.0,0.317,0,RENT,debt_consolidation,0
A301218,69,39700.0,2.0,38600,36,716.0,0.139,1,RENT,major_purchase,0
A301032,22,33300.0,7.6,10500,36,654.0,0.064,0,RENT,medical,0
A301170,61,119100.0,1.5,13600,24,772.0,0.376,2,MORTGAGE,home_improvement,0
A300398,53,67800.0,5.8,37500,60,730.0,0.113,0,OWN,debt_consolidation,0
A300442,42,70000.0,2.1,20000,24,719.0,0.322,0,OWN,debt_consolidation,0
A300905,21,58700.0,3.6,56300,48,695.0,0.103,0,RENT,home_improvement,0
A300965,57,,1.5,11500,60,809.0,0.187,0,RENT,debt_consolidation,0
A301291,22,74800.0,1.4,21400,60,693.0,0.269,1,RENT,major_purchase,0
A300480,63,59400.0,4.9,7200,60,650.0,0.291,0,MORTGAGE,debt_consolidation,0
A300754,27,81500.0,3.9,12800,36,579.0,0.428,0,MORTGAGE,debt_consolidation,0
A301256,68,61800.0,10.8,11400,36,750.0,0.431,0,MORTGAGE,major_purchase,0
A300880,51,114700.0,6.0,29900,48,706.0,0.271,0,RENT,other,0
A301494,34,95500.0,11.6,10600,36,621.0,0.265,0,MORTGAGE,other,0
A300368,37,94900.0,6.8,14600,36,595.0,0.191,0,MORTGAGE,debt_consolidation,0
A301445,54,69000.0,9.3,16300,36,723.0,0.474,0,RENT,home_improvement,0
A300936,69,51200.0,4.2,17900,24,624.0,0.192,0,MORTGAGE,debt_consolidation,0
A301147,33,106200.0,3.9,22200,24,572.0,0.43,2,OWN,debt_consolidation,1
A301558,63,34900.0,11.9,10900,24,657.0,0.312,0,OWN,home_improvement,0
A301194,56,74500.0,2.7,14600,60,747.0,0.357,0,RENT,home_improvement,0
A301532,68,73400.0,15.4,8600,60,644.0,0.12,0,OWN,home_improvement,0
A300325,60,56800.0,2.2,11700,24,742.0,0.341,0,MORTGAGE,medical,0
A300340,40,44500.0,9.2,18300,36,773.0,0.397,1,MORTGAGE,debt_consolidation,1
A300356,21,77000.0,2.4,14200,12,567.0,0.02,0,RENT,debt_consolidation,0
A300689,38,46400.0,5.0,7600,24,719.0,0.233,0,MORTGAGE,medical,0
A300127,67,88100.0,2.1,18500,48,,0.382,0,MORTGAGE,major_purchase,0
A301177,67,,21.3,7900,48,584.0,0.312,0,MORTGAGE,home_improvement,0
A301006,58,91100.0,12.3,17700,12,521.0,0.349,0,OWN,major_purchase,0
A301546,39,99000.0,11.1,17000,48,593.0,0.232,0,MORTGAGE,home_improvement,0
A300552,23,65300.0,4.3,10100,48,716.0,0.02,0,MORTGAGE,debt_consolidation,0
A300691,27,106200.0,13.1,15700,36,682.0,0.308,0,OWN,other,0
A301527,25,58400.0,6.6,50400,60,745.0,0.374,0,RENT,other,0
A301456,34,43300.0,18.7,16500,36,771.0,0.507,0,RENT,debt_consolidation,0
A300288,23,76700.0,10.7,5400,24,668.0,0.097,0,MORTGAGE,home_improvement,0
A300909,29,37200.0,8.2,8100,36,727.0,0.412,1,RENT,debt_consolidation,0
A300654,38,90300.0,3.5,7800,12,703.0,0.318,0,OWN,home_improvement,0
A300499,57,64200.0,3.2,12100,36,748.0,0.132,1,RENT,debt_consolidation,0
A300828,22,129000.0,2.9,16200,48,670.0,0.251,0,MORTGAGE,debt_consolidation,0
A300262,66,86800.0,7.1,16700,48,711.0,0.25,0,OWN,major_purchase,0
A300687,22,77400.0,3.2,18800,24,592.0,0.315,1,MORTGAGE,other,0
A300070,33,,8.8,14800,24,774.0,0.338,0,RENT,major_purchase,0
A300694,46,33900.0,13.0,16600,36,683.0,0.188,0,OWN,home_improvement,0
A301057,32,65600.0,10.9,5300,36,692.0,0.343,0,MORTGAGE,home_improvement,0
A301243,61,140300.0,2.5,9500,60,708.0,0.081,3,RENT,debt_consolidation,1
A300472,58,114800.0,8.5,22200,24,637.0,0.338,0,RENT,debt_consolidation,0
A300755,45,49200.0,5.4,5900,36,569.0,0.436,0,rent,debt_consolidation,1
A301142,26,63300.0,2.3,9900,60,647.0,0.386,0,RENT,home_improvement,0
A300737,24,30700.0,3.4,14300,36,651.0,0.065,2,MORTGAGE,medical,1
A300665,67,,14.5,16300,12,664.0,0.326,1,RENT,other,1
A300625,52,67600.0,3.3,11700,48,637.0,0.332,0,RENT,debt_consolidation,1
A301385,39,32300.0,9.1,11100,36,701.0,0.352,0,RENT,other,1
A300615,29,131100.0,5.9,19000,36,850.0,0.153,0,RENT,major_purchase,0
A300117,64,57100.0,21.5,24600,24,590.0,0.249,0,MORTGAGE,major_purchase,0
A300363,21,,6.8,18900,48,597.0,0.285,0,MORTGAGE,other,0
A300655,33,74300.0,8.2,15800,36,654.0,0.406,0,RENT,major_purchase,0
A300053,28,27300.0,11.1,9800,48,723.0,0.315,0,RENT,major_purchase,0
A300319,52,70100.0,6.4,13800,36,691.0,0.37,0,RENT,debt_consolidation,0
A301301,38,30500.0,7.6,32200,24,715.0,0.474,0,OWN,debt_consolidation,1
A300201,59,60100.0,12.2,13600,24,570.0,0.134,0,RENT,medical,0
A301460,67,45600.0,0.6,9600,60,659.0,0.287,0,MORTGAGE,debt_consolidation,0
A300041,21,47900.0,24.3,35000,12,617.0,0.396,1,MORTGAGE,medical,1
A300537,45,47500.0,5.3,15600,36,810.0,0.227,0,OWN,medical,0
A300136,39,52100.0,5.4,56100,60,659.0,0.482,0,MORTGAGE,major_purchase,1
A300739,39,141600.0,2.0,10900,12,673.0,0.31,0,RENT,major_purchase,1
A300922,44,,4.8,13500,12,603.0,0.536,0,MORTGAGE,home_improvement,1
A300369,42,63600.0,10.8,10000,12,706.0,0.298,0,MORTGAGE,major_purchase,0
A301537,50,48000.0,14.0,21900,36,680.0,0.095,0,MORTGAGE,home_improvement,1
A301217,21,119100.0,13.3,7100,24,741.0,0.367,0,MORTGAGE,major_purchase,0
A300618,61,116600.0,11.1,23600,36,668.0,0.307,0,OWN,home_improvement,0
A300260,33,,6.3,15200,24,707.0,0.306,0,MORTGAGE,other,0
A300974,64,48800.0,1.9,12000,12,757.0,0.179,0,OWN,medical,0
A300923,44,54200.0,2.4,12700,12,643.0,0.317,0,RENT,medical,0
A300217,35,20400.0,1.9,9700,24,640.0,0.142,0,MORTGAGE,debt_consolidation,0
A300175,53,63100.0,5.0,18300,48,634.0,0.368,0,MORTGAGE,major_purchase,0
A300460,53,73700.0,10.0,17700,36,678.0,0.254,0,RENT,debt_consolidation,0
A300899,64,85200.0,2.5,15100,48,847.0,0.258,0,RENT,home_improvement,0
A300255,39,48300.0,10.1,7600,24,577.0,0.138,0,MORTGAGE,debt_consolidation,0
A300130,30,88500.0,5.6,18500,60,776.0,0.384,1,RENT,debt_consolidation,0
A300903,64,67900.0,6.6,60000,48,684.0,0.087,0,MORTGAGE,debt_consolidation,0
A301005,33,98600.0,3.3,14100,24,781.0,0.334,0,OWN,debt_consolidation,0
A301245,48,,0.7,15600,12,580.0,0.251,0,RENT,home_improvement,1
A300908,47,55400.0,6.0,14200,36,686.0,0.39,1,MORTGAGE,major_purchase,0
A300904,35,28500.0,5.2,29200,36,645.0,0.151,2,RENT,other,0
A301327,30,77700.0,10.0,9500,48,740.0,0.305,0,MORTGAGE,debt_consolidation,0
A300725,45,67100.0,5.0,20400,12,595.0,0.282,0,OWN,home_improvement,0
A301017,28,33600.0,7.8,6900,24,680.0,0.196,0,RENT,major_purchase,0
A301595,48,59400.0,16.2,14600,60,661.0,0.179,0,RENT,debt_consolidation,0
A301193,62,49200.0,7.3,29000,48,748.0,0.408,0,MORTGAGE,home_improvement,0
A301201,21,56100.0,8.6,23800,12,759.0,0.329,0,MORTGAGE,debt_consolidation,0
A301234,67,55400.0,6.4,19000,36,672.0,0.226,0,RENT,other,0
A300123,24,,4.3,32700,48,496.0,0.297,0,MORTGAGE,other,0
A301182,32,50200.0,4.0,3600,36,757.0,0.358,0,RENT,debt_consolidation,0
A300311,33,51300.0,9.9,5700,24,647.0,0.297,0,RENT,home_improvement,0
A300237,50,32600.0,3.8,33100,24,650.0,0.02,0,RENT,home_improvement,0
A300514,23,177000.0,2.7,26700,24,760.0,0.41,0,rent,medical,0
A301184,34,,1.8,11500,36,714.0,0.378,0,MORTGAGE,debt_consolidation,0
A301432,45,77900.0,11.7,36800,24,588.0,0.386,1,MORTGAGE,major_purchase,1
A300867,52,68500.0,7.5,5400,36,675.0,0.568,0,RENT,major_purchase,1
A300497,40,27700.0,1.6,6700,12,717.0,0.247,0,MORTGAGE,other,0
A301599,66,61400.0,13.8,4500,36,746.0,0.467,0,MORTGAGE,other,0
A301050,65,60000.0,1.3,10900,24,728.0,0.228,0,RENT,debt_consolidation,0
A300232,28,65400.0,5.9,9100,24,,0.414,0,RENT,medical,0
A301426,48,145800.0,8.3,9900,24,632.0,0.207,0,MORTGAGE,major_purchase,0
A300551,42,65000.0,8.8,12500,60,603.0,0.383,0,MORTGAGE,debt_consolidation,0
A300647,35,61000.0,2.4,13300,24,687.0,0.253,1,RENT,major_purchase,0
A300964,28,82800.0,6.7,25800,36,707.0,0.386,0,OWN,debt_consolidation,0
A300719,37,46600.0,3.1,10700,48,698.0,0.261,0,RENT,debt_consolidation,0
A300921,50,149200.0,6.1,24200,24,730.0,0.378,1,RENT,home_improvement,0
A300278,33,52000.0,3.6,28600,36,696.0,0.237,2,RENT,major_purchase,1
A301510,43,80100.0,17.4,16800,48,548.0,0.23,0,RENT,other,1
A300333,31,44400.0,1.1,7800,60,503.0,0.364,0,MORTGAGE,home_improvement,0
A300736,31,101800.0,5.6,29100,36,700.0,0.162,1,RENT,other,1
A301498,65,40100.0,10.4,36100,36,797.0,0.258,1,OWN,debt_consolidation,0
A301576,66,40400.0,3.8,26600,36,752.0,0.383,0,MORTGAGE,debt_consolidation,0
A300021,37,62400.0,5.6,18400,36,700.0,0.13,0,RENT,debt_consolidation,0
A301093,33,47300.0,3.9,27000,24,608.0,0.02,0,rent,major_purchase,0
A300061,49,71900.0,0.4,20300,36,709.0,0.02,0,RENT,debt_consolidation,1
A301143,29,55600.0,11.3,27800,24,640.0,0.229,0,RENT,home_improvement,0
A301097,47,57500.0,4.7,5600,36,794.0,0.338,0,OWN,debt_consolidation,0
A300214,64,30800.0,1.9,14100,60,754.0,0.206,0,MORTGAGE,debt_consolidation,0
A300246,41,62400.0,1.1,30300,36,653.0,0.154,0,MORTGAGE,debt_consolidation,1
A301337,66,53500.0,4.5,8800,12,762.0,0.293,0,RENT,medical,1
A301159,55,79400.0,5.1,20500,24,700.0,0.147,0,MORTGAGE,home_improvement,0
A301010,53,56100.0,11.3,21000,12,696.0,0.366,0,RENT,debt_consolidation,0
A300135,48,,8.8,14300,24,620.0,0.537,1,mortgage,debt_consolidation,1
A300346,23,58500.0,15.1,10400,60,736.0,0.16,0,MORTGAGE,home_improvement,0
A300841,44,99000.0,3.5,28800,24,643.0,0.484,1,RENT,debt_consolidation,1
A301219,22,121500.0,8.5,33700,24,727.0,0.145,1,RENT,debt_consolidation,0
A301321,52,48300.0,10.2,4500,60,671.0,0.322,0,RENT,debt_consolidation,0
A301543,28,49300.0,14.6,27300,36,522.0,0.298,1,RENT,medical,1
A300169,56,53300.0,2.1,15100,24,625.0,0.388,0,MORTGAGE,other,0
A301205,24,57300.0,4.8,20500,60,636.0,0.316,0,RENT,home_improvement,0
A300597,55,60000.0,8.7,18100,12,678.0,0.187,0,MORTGAGE,debt_consolidation,0
A300606,52,49400.0,6.5,9100,48,660.0,0.284,0,OWN,major_purchase,0
A301448,63,72300.0,6.2,12400,24,711.0,0.368,0,MORTGAGE,other,0
A301580,60,60100.0,6.4,10200,60,647.0,0.323,0,OWN,debt_consolidation,0
A300239,42,73100.0,1.4,12900,24,774.0,0.149,0,mortgage,home_improvement,0
A300360,50,61400.0,6.2,10500,12,660.0,0.331,0,OWN,debt_consolidation,1
A301329,54,62300.0,8.5,11200,24,680.0,0.303,0,RENT,other,1
A301038,60,52300.0,7.4,29200,36,676.0,0.116,0,OWN,debt_consolidation,1
A300461,30,50400.0,3.3,17900,24,720.0,0.15,0,MORTGAGE,major_purchase,0
A300695,21,65600.0,12.0,11800,12,644.0,0.373,0,RENT,home_improvement,0
A301173,66,48900.0,5.8,24100,60,703.0,0.24,0,MORTGAGE,debt_consolidation,0
A301274,41,97800.0,8.2,6500,36,588.0,0.279,0,OWN,major_purchase,0
A300940,63,69200.0,1.5,16300,36,595.0,0.31,0,OWN,debt_consolidation,0
A300447,21,69800.0,0.5,10800,60,644.0,0.177,0,MORTGAGE,medical,1
A300538,60,,2.7,9100,24,779.0,0.242,0,RENT,debt_consolidation,0
A300481,24,125100.0,6.8,31300,36,610.0,0.253,0,RENT,debt_consolidation,0
A301001,69,58000.0,10.2,15700,36,558.0,0.266,0,RENT,debt_consolidation,0
A301575,67,58800.0,7.2,30800,24,734.0,0.076,0,RENT,debt_consolidation,0
A300659,56,45600.0,3.5,25900,48,673.0,0.39,0,mortgage,medical,0
A301049,51,55400.0,10.6,10200,60,644.0,0.264,0,MORTGAGE,debt_consolidation,0
A300711,67,25600.0,14.6,11700,36,,0.25,0,RENT,major_purchase,0
A301588,25,19700.0,7.8,22800,24,663.0,0.216,0,RENT,debt_consolidation,0
A300042,23,62400.0,9.9,19000,48,623.0,0.324,0,RENT,debt_consolidation,0
A301072,41,93300.0,6.0,23300,24,601.0,0.325,1,OWN,debt_consolidation,1
A300751,46,47600.0,9.0,16200,36,611.0,0.242,0,MORTGAGE,debt_consolidation,0
A301296,65,110500.0,11.8,12800,36,656.0,0.26,0,MORTGAGE,other,0
A300577,59,51100.0,1.0,12300,36,,0.474,0,MORTGAGE,medical,0
A301080,61,71300.0,9.4,21100,48,607.0,0.366,0,OWN,debt_consolidation,0
A300710,23,36300.0,6.5,10000,24,607.0,0.316,0,RENT,major_purchase,0
A300500,42,70800.0,13.3,20800,48,659.0,0.2,0,RENT,debt_consolidation,0
A300378,65,55100.0,10.8,35000,12,616.0,0.333,0,RENT,home_improvement,0
A301560,29,57600.0,0.9,17500,36,620.0,0.242,0,RENT,home_improvement,0
A300349,50,52700.0,5.2,15300,24,780.0,0.283,1,RENT,major_purchase,1
A300022,55,79900.0,3.0,5700,36,658.0,0.31,2,RENT,debt_consolidation,0
A300503,38,51000.0,4.4,13700,36,586.0,0.302,0,MORTGAGE,medical,1
A300304,66,73900.0,13.0,33400,60,630.0,0.222,0,RENT,debt_consolidation,0
A301392,54,44200.0,8.7,31900,36,772.0,0.202,2,MORTGAGE,medical,0
A301570,27,76400.0,1.7,10500,48,649.0,0.149,1,RENT,debt_consolidation,0
A301161,37,51100.0,1.3,16300,24,657.0,0.089,0,OWN,major_purchase,0
A301395,38,65300.0,5.9,30500,60,692.0,0.318,0,OWN,debt_consolidation,0
A301153,39,,11.8,11900,60,753.0,0.238,0,RENT,debt_consolidation,0
A300482,22,37300.0,10.2,7400,24,637.0,0.259,0,RENT,medical,0
A300093,22,62600.0,3.0,23400,36,568.0,0.337,0,OWN,other,0
A301158,57,73600.0,8.7,14700,36,,0.207,2,RENT,other,1
A300962,63,89400.0,10.5,12000,36,584.0,0.347,0,MORTGAGE,medical,0
A301008,67,76400.0,11.0,19100,36,591.0,0.283,0,RENT,home_improvement,0
A301437,46,77400.0,4.9,13200,24,731.0,0.326,0,RENT,other,0
A300088,68,28000.0,8.0,12700,24,696.0,0.136,0,RENT,debt_consolidation,1
A301491,34,62100.0,9.2,17500,12,749.0,0.326,0,RENT,debt_consolidation,0
A300671,62,40600.0,3.5,8900,60,657.0,0.451,0,OWN,debt_consolidation,0
A300605,36,38700.0,6.4,11300,60,764.0,0.384,0,MORTGAGE,medical,0
A301513,52,61800.0,8.6,14600,36,682.0,0.425,0,MORTGAGE,home_improvement,0
A300592,50,39400.0,1.7,14000,24,614.0,0.317,0,RENT,debt_consolidation,0
A300571,68,29000.0,4.9,5400,36,626.0,0.507,0,RENT,debt_consolidation,1
A301109,46,79700.0,11.6,9700,12,668.0,0.352,0,MORTGAGE,home_improvement,1
A300279,41,112800.0,2.8,26900,36,590.0,0.278,0,MORTGAGE,major_purchase,1
A300942,61,68100.0,13.0,7700,36,747.0,0.187,1,OWN,other,0
A301002,43,44500.0,6.0,12800,60,713.0,0.383,3,RENT,debt_consolidation,1
A300247,61,81000.0,10.3,10200,24,778.0,0.363,0,MORTGAGE,debt_consolidation,0
A301267,63,93500.0,11.2,18400,36,682.0,0.091,0,RENT,medical,0
A300272,41,71100.0,11.4,12600,36,686.0,0.376,0,MORTGAGE,debt_consolidation,0
A300646,25,56600.0,10.2,6800,24,719.0,0.305,0,OWN,home_improvement,0
A301070,40,48600.0,11.2,12500,36,606.0,0.306,0,MORTGAGE,debt_consolidation,0
A300164,55,106500.0,5.3,14700,24,829.0,0.175,0,MORTGAGE,other,0
A300195,44,,10.4,9200,60,732.0,0.146,0,OWN,major_purchase,0
A300632,60,135600.0,2.7,38800,36,757.0,0.15,0,MORTGAGE,home_improvement,0
A300996,54,33200.0,23.3,10800,48,754.0,0.215,2,MORTGAGE,other,0
A300531,27,34400.0,5.8,14100,36,785.0,0.212,1,MORTGAGE,debt_consolidation,0
A300722,28,39400.0,2.4,26100,24,570.0,0.269,0,MORTGAGE,debt_consolidation,1
A300329,35,78500.0,9.2,17100,36,655.0,0.342,0,MORTGAGE,debt_consolidation,0
A301339,24,,7.9,6900,48,741.0,0.293,0,rent,major_purchase,0
A301163,67,131600.0,6.2,12900,36,,0.176,0,MORTGAGE,major_purchase,0
A301438,57,83800.0,2.9,16000,36,726.0,0.343,1,RENT,major_purchase,0
A300026,44,67100.0,3.3,6700,60,620.0,0.294,0,MORTGAGE,debt_consolidation,0
A301095,34,,13.0,26300,24,617.0,0.163,0,MORTGAGE,other,0
A301152,33,53400.0,2.3,9300,24,682.0,0.314,0,MORTGAGE,medical,0
A300411,69,64600.0,5.8,26700,36,741.0,0.404,0,MORTGAGE,debt_consolidation,0
A300730,33,122500.0,5.4,12500,36,694.0,0.242,0,RENT,home_improvement,1
A300558,30,57900.0,13.7,9400,24,715.0,0.101,0,RENT,major_purchase,0
A300271,43,119800.0,0.4,11200,12,684.0,0.27,0,RENT,debt_consolidation,0
A300163,47,32000.0,4.0,6500,36,684.0,0.335,0,MORTGAGE,home_improvement,0
A301459,25,69100.0,4.1,21800,24,638.0,0.355,0,RENT,home_improvement,1
A300470,36,29000.0,2.7,9600,60,650.0,0.378,0,MORTGAGE,debt_consolidation,1
A301098,59,33700.0,0.9,13200,48,692.0,0.351,0,RENT,major_purchase,1
A300320,63,121100.0,4.5,19400,60,612.0,0.232,0,MORTGAGE,other,0
A300950,47,57900.0,5.0,33000,48,732.0,0.244,0,RENT,debt_consolidation,0
A300802,45,44200.0,4.6,33800,36,708.0,0.362,2,MORTGAGE,debt_consolidation,1
A300039,31,,1.6,4900,36,698.0,0.453,0,MORTGAGE,other,0
A300043,51,29700.0,4.7,21800,48,745.0,0.368,0,RENT,home_improvement,0
A301111,25,139300.0,5.4,26300,48,688.0,0.02,0,OWN,debt_consolidation,0
A301043,47,111500.0,7.5,27000,24,,0.269,1,RENT,home_improvement,0
A300289,63,46300.0,12.5,26800,36,606.0,0.399,1,RENT,debt_consolidation,1
A300464,61,51800.0,7.2,29800,36,787.0,0.421,0,RENT,debt_consolidation,0
A300508,44,55400.0,3.6,31400,60,794.0,0.343,0,RENT,debt_consolidation,0
A300910,51,53800.0,9.7,11900,48,743.0,0.586,0,MORTGAGE,other,0
A301188,55,56500.0,11.4,3900,48,632.0,0.289,0,MORTGAGE,debt_consolidation,0
A300371,30,,6.6,17900,48,739.0,0.35,0,MORTGAGE,home_improvement,0
A300427,24,,0.8,15900,24,599.0,0.204,1,MORTGAGE,home_improvement,1
A300891,53,176300.0,9.1,20500,60,728.0,0.502,0,OWN,other,0
A301030,68,50200.0,3.3,5500,36,647.0,0.318,2,OWN,debt_consolidation,1
A300324,41,34500.0,5.6,10700,60,621.0,0.346,2,RENT,debt_consolidation,0
A300573,43,44400.0,2.6,25500,36,585.0,0.184,1,own,other,0
A300815,55,81400.0,4.6,8300,36,652.0,0.128,0,MORTGAGE,medical,0
A300672,42,115700.0,3.1,11300,24,622.0,0.167,0,MORTGAGE,debt_consolidation,0
A300539,46,96400.0,24.5,12000,24,698.0,0.088,0,RENT,other,1
A300073,64,58600.0,5.0,9600,60,635.0,0.348,0,RENT,debt_consolidation,0
A300151,25,87100.0,4.9,9100,36,778.0,0.312,0,MORTGAGE,home_improvement,1
A300967,69,38200.0,5.6,12500,36,756.0,0.358,2,MORTGAGE,home_improvement,1
A301335,67,54300.0,11.3,16300,36,752.0,0.278,2,OWN,debt_consolidation,0
A300786,41,81500.0,5.4,35700,24,683.0,0.26,0,RENT,debt_consolidation,0
A301035,46,,7.6,23200,24,601.0,0.188,0,RENT,debt_consolidation,1
A300148,38,25800.0,5.0,26000,36,,0.203,0,OWN,home_improvement,1
A301292,62,75200.0,3.8,21400,36,789.0,0.532,0,RENT,debt_consolidation,0
A301523,38,96500.0,7.5,33800,12,580.0,0.349,1,RENT,debt_consolidation,1
A301018,56,,9.2,4400,24,706.0,0.15,0,OWN,other,0
A300430,23,120500.0,7.8,25000,36,573.0,0.353,0,rent,debt_consolidation,0
A300701,49,58700.0,2.8,22900,36,655.0,0.318,0,RENT,debt_consolidation,0
A300569,59,68800.0,7.0,11100,36,755.0,0.371,2,OWN,debt_consolidation,0
A301561,44,79600.0,6.7,12300,24,668.0,0.231,0,MORTGAGE,major_purchase,0
