customer_id,signup_date,age,region,plan,monthly_fee,tenure_months,avg_weekly_hours,num_profiles,devices,support_tickets,last_login_days,monthly_spend,payment_method,auto_renew,satisfaction,churned
CU801895,2022-05-20,28,North,Standard,14.99,32,15.2,3,3,0,0,14.99,card,1,4.0,0
CU800091,2025-05-13,28,north,Standard,14.99,11,2.1,1,2,2,6,14.99,card,0,2.0,0
CU802301,2023-01-24,45,west,Standard,14.99,3,0.8,1,3,2,4,21.99,card,0,3.0,0
CU801452,2023-12-25,44,East,Standard,14.99,6,5.9,5,1,0,32,14.99,paypal,1,3.0,1
CU800342,2022-10-09,27,North,Premium,19.99,7,2.6,5,1,0,13,19.99,card,1,1.0,1
CU800361,2023-02-04,33,West,Basic,8.99,19,4.1,1,4,2,35,8.99,card,1,3.0,0
CU802335,2022-12-05,43,East,Premium,19.99,20,11.5,2,2,1,3,19.99,giftcard,1,3.0,0
CU802351,2024-11-24,47,East,Premium,19.99,12,6.2,2,3,0,3,23.49,card,0,3.0,0
CU802058,2022-07-30,34,South,Standard,14.99,4,7.0,2,6,0,0,18.49,card,1,2.0,0
CU801013,2022-07-18,50,North,Premium,19.99,13,7.5,2,4,1,18,19.99,card,0,3.0,0
CU802199,2024-08-22,47,south,Basic,8.99,9,3.8,3,2,0,49,8.99,card,1,2.0,0
CU801171,2022-10-25,22,South,Basic,8.99,17,3.4,1,2,0,5,8.99,card,0,3.0,0
CU800087,2024-06-29,48,South,Basic,8.99,14,5.3,1,4,0,9,8.99,card,0,,0
CU800759,2023-12-31,51,East,Basic,8.99,15,6.4,2,2,0,17,12.49,card,1,4.0,0
CU801096,2025-02-15,39,South,Basic,8.99,12,2.3,1,2,0,1,8.99,card,1,4.0,0
CU800828,2024-06-18,31,North,Standard,14.99,38,8.8,3,5,1,2,14.99,card,1,4.0,0
CU800669,2022-03-21,21,North,Standard,14.99,14,4.1,4,4,0,45,14.99,card,1,4.0,0
CU801578,2025-05-13,23,East,Standard,14.99,9,11.2,2,5,0,20,14.99,card,1,2.0,0
CU800739,2023-01-14,38,south,Standard,14.99,5,2.7,2,2,1,6,18.49,card,0,2.0,0
CU800296,2023-09-26,49,East,Standard,14.99,17,3.1,2,5,1,8,18.49,card,0,1.0,0
CU802106,2022-09-19,58,North,Basic,8.99,15,5.6,1,8,0,9,8.99,card,1,3.0,0
CU801745,2022-08-16,41,east,Basic,8.99,21,3.7,1,3,0,6,8.99,card,1,3.0,0
CU800971,2025-05-12,22,South,Premium,19.99,23,12.1,1,3,0,5,19.99,card,1,3.0,0
CU800177,2024-07-15,44,East,Premium,19.99,7,2.6,1,4,1,9,19.99,card,0,,1
CU800621,2024-05-30,45,East,Basic,8.99,27,3.1,2,2,0,0,8.99,applepay,1,2.0,0
CU801067,2024-02-19,22,North,Basic,8.99,12,5.3,1,3,0,28,12.49,paypal,1,1.0,1
CU801505,2025-05-10,52,East,Standard,14.99,21,24.0,3,2,1,0,14.99,paypal,0,2.0,0
CU802156,2023-08-24,43,North,Premium,19.99,20,9.0,4,3,1,20,19.99,card,0,3.0,0
CU800865,2024-02-24,46,North,Basic,8.99,12,9.4,1,4,0,23,12.49,card,1,4.0,0
CU801874,2023-01-23,36,North,Basic,8.99,37,,4,3,1,25,12.49,card,1,3.0,0
CU800967,2022-08-09,34,South,Premium,19.99,14,3.0,2,5,1,4,23.49,applepay,1,5.0,0
CU801550,2023-10-26,42,North,Standard,14.99,12,,4,2,2,6,14.99,applepay,1,4.0,0
CU801726,2025-01-01,39,East,Premium,19.99,15,0.4,1,2,0,12,23.49,giftcard,1,5.0,1
CU801465,2024-01-07,45,East,Basic,8.99,11,0.8,1,3,1,17,8.99,card,1,2.0,1
CU802489,2023-05-01,42,West,Basic,8.99,8,3.2,4,1,1,13,12.49,applepay,1,1.0,0
CU802057,2024-10-22,40,South,Basic,8.99,49,2.4,2,7,3,15,12.49,card,1,4.0,1
CU800986,2023-10-15,56,South,Standard,14.99,7,0.4,1,5,0,6,18.49,card,1,3.0,0
CU802354,2024-10-22,47,North,Standard,14.99,3,4.5,1,2,1,35,14.99,card,0,4.0,0
CU801722,2022-02-09,28,South,Basic,8.99,20,6.6,2,5,2,23,8.99,card,0,5.0,0
CU801455,2024-12-16,48,South,Standard,14.99,13,1.9,2,2,0,36,14.99,applepay,1,3.0,0
CU800652,2024-05-16,43,East,Premium,19.99,12,7.4,1,3,0,34,19.99,card,1,4.0,0
CU802143,2022-01-23,30,North,Standard,14.99,5,2.1,5,3,0,16,14.99,paypal,1,2.0,1
CU802241,2024-03-01,28,North,Basic,8.99,12,8.6,5,4,0,8,8.99,card,0,3.0,0
CU802012,2024-08-13,27,South,Basic,8.99,15,5.7,4,5,0,10,8.99,paypal,0,,0
CU800491,2025-02-12,49,East,Basic,8.99,28,8.0,4,4,1,33,8.99,card,1,3.0,0
CU801513,2023-03-05,55,East,Standard,14.99,9,17.6,1,1,0,0,25.49,paypal,0,1.0,0
CU801249,2022-06-06,39,West,Premium,19.99,12,2.0,2,4,1,0,19.99,paypal,1,3.0,0
CU800370,2024-07-30,55,East,Premium,19.99,8,2.5,2,1,0,5,23.49,applepay,0,3.0,0
CU801358,2024-10-04,66,North,Standard,14.99,27,8.3,2,2,1,6,18.49,card,1,3.0,0
CU802482,2023-07-21,16,East,Basic,8.99,15,6.1,3,4,1,32,8.99,card,1,4.0,0
CU800062,2023-11-04,29,South,Premium,19.99,16,3.4,4,4,0,5,23.49,card,1,5.0,0
CU800512,2022-07-01,34,North,Standard,14.99,6,3.1,1,3,2,3,14.99,paypal,0,2.0,0
CU800350,2023-01-19,24,East,Premium,19.99,14,17.2,1,3,1,11,23.49,applepay,1,3.0,0
CU802051,2025-01-20,37,West,Basic,8.99,19,2.0,1,3,1,12,12.49,card,1,4.0,0
CU800879,2023-11-25,28,West,Basic,8.99,26,2.2,2,1,3,6,8.99,card,1,4.0,0
CU800656,2024-01-23,30,East,Premium,19.99,18,4.9,2,3,0,1,19.99,card,1,1.0,0
CU801068,2023-12-06,34,East,Standard,14.99,7,7.0,2,6,0,14,14.99,card,1,4.0,0
CU801314,2022-08-04,43,West,Basic,8.99,4,13.9,4,4,0,4,8.99,applepay,1,2.0,0
CU800188,2024-12-21,42,South,Standard,14.99,9,,2,8,1,7,18.49,card,0,5.0,0
CU802173,2024-12-02,26,South,Standard,14.99,10,1.8,1,3,1,0,18.49,paypal,0,5.0,0
CU800582,2022-02-10,37,West,Basic,8.99,9,1.2,3,2,0,2,8.99,card,0,5.0,0
CU800039,2023-08-07,29,North,Basic,8.99,4,7.1,2,3,0,11,8.99,card,1,4.0,1
CU800944,2024-08-01,41,east,Standard,14.99,13,3.0,1,4,2,21,14.99,card,0,1.0,0
CU800187,2023-07-20,21,East,Premium,19.99,4,1.6,2,1,0,4,19.99,paypal,1,2.0,0
CU800477,2024-10-08,50,East,Basic,8.99,8,2.3,1,2,0,0,8.99,card,1,4.0,0
CU801512,2023-03-07,51,South,Standard,14.99,21,6.8,4,2,2,7,14.99,paypal,0,5.0,0
CU801347,2022-11-16,16,East,Premium,19.99,18,13.3,4,1,0,26,19.99,card,1,,0
CU801313,2024-02-01,36,South,Standard,14.99,17,10.6,2,4,0,11,14.99,card,0,3.0,1
CU802558,2023-10-15,38,North,Premium,19.99,25,1.8,3,2,0,9,26.99,giftcard,1,3.0,0
CU801780,2025-04-17,35,North,Basic,8.99,27,13.2,2,2,0,6,12.49,paypal,0,5.0,0
CU802050,2024-04-28,22,East,Basic,8.99,8,1.1,3,5,0,9,12.49,card,1,4.0,0
CU801569,2022-09-19,43,East,Premium,19.99,29,1.6,1,5,0,4,26.99,card,1,4.0,0
CU801264,2022-09-24,16,South,Standard,14.99,6,2.4,1,3,0,8,14.99,giftcard,1,2.0,0
CU802209,2024-07-06,29,East,Basic,8.99,15,10.5,3,3,0,22,12.49,applepay,1,4.0,0
CU800589,2022-11-25,29,East,Standard,14.99,15,2.7,1,2,1,3,14.99,card,1,5.0,0
CU802405,2022-02-27,45,South,Standard,14.99,3,12.4,1,3,0,13,14.99,paypal,0,4.0,0
CU801574,2024-12-22,77,West,Basic,8.99,29,3.5,2,5,0,2,8.99,card,0,4.0,0
CU802210,2022-04-10,53,North,Basic,8.99,13,10.1,2,2,0,1,12.49,card,1,2.0,0
CU802267,2022-07-04,31,East,Basic,8.99,27,10.8,1,5,0,6,8.99,card,0,4.0,0
CU800411,2024-04-01,43,West,Premium,19.99,7,1.8,2,4,0,3,23.49,card,0,3.0,0
CU801134,2024-02-11,27,East,Basic,8.99,28,4.2,2,1,1,0,8.99,card,1,3.0,0
CU801808,2024-10-05,40,north,Basic,8.99,14,7.7,3,4,1,0,8.99,card,0,5.0,0
CU800458,2024-05-16,34,West,Basic,8.99,24,11.9,2,1,0,12,8.99,card,1,4.0,0
CU800534,2024-01-23,48,West,Premium,19.99,36,5.6,4,5,0,44,19.99,card,1,4.0,0
CU800597,2023-02-12,16,West,Standard,14.99,38,0.3,4,3,1,40,14.99,applepay,0,4.0,0
CU801705,2024-03-17,36,East,Standard,14.99,24,4.1,4,5,0,11,14.99,card,1,2.0,0
CU801852,2023-11-02,45,North,Premium,19.99,4,16.3,2,1,4,0,19.99,giftcard,1,4.0,0
CU801995,2024-02-28,41,North,Standard,14.99,9,3.4,1,5,1,3,14.99,giftcard,1,1.0,0
CU800442,2023-06-01,50,North,Premium,19.99,10,9.1,5,2,0,4,23.49,applepay,1,5.0,0
CU801105,2024-06-16,16,East,Basic,8.99,7,10.2,3,7,1,8,8.99,card,1,4.0,0
CU801739,2022-12-02,31,East,Standard,14.99,24,5.0,2,2,1,1,18.49,applepay,1,5.0,0
CU801760,2024-11-22,54,West,Standard,14.99,18,7.3,2,7,2,7,14.99,card,1,3.0,0
CU800414,2023-10-21,32,East,Standard,14.99,12,3.8,3,4,2,4,18.49,paypal,0,4.0,0
CU802104,2022-12-26,53,East,Standard,14.99,4,2.5,3,4,4,11,25.49,applepay,1,,0
CU801407,2022-08-03,50,South,Standard,14.99,31,10.3,3,7,0,20,14.99,card,1,4.0,0
CU800588,2022-02-19,50,East,Premium,19.99,19,1.3,1,3,1,12,19.99,card,1,5.0,0
CU802464,2024-08-02,37,East,Standard,14.99,6,7.7,4,4,1,2,21.99,card,1,,1
CU801061,2023-07-07,44,West,Standard,14.99,19,9.7,1,6,1,6,21.99,card,0,3.0,0
CU801007,2024-01-26,44,north,Standard,14.99,6,4.9,4,5,1,6,14.99,card,1,2.0,0
CU800758,2023-02-12,52,West,Standard,14.99,30,2.3,1,4,0,8,14.99,card,0,3.0,0
CU800069,2025-03-27,17,South,Basic,8.99,35,10.6,2,2,2,2,8.99,paypal,1,4.0,0
CU802536,2024-01-05,41,South,Premium,19.99,10,7.2,1,3,0,4,19.99,card,1,4.0,0
CU800151,2023-07-23,26,South,Premium,19.99,8,10.6,1,4,1,6,19.99,paypal,0,4.0,0
CU802142,2024-12-10,39,East,Standard,14.99,12,3.1,3,1,0,3,14.99,card,1,3.0,0
CU800141,2024-04-26,28,North,Basic,8.99,4,9.1,1,1,1,5,12.49,card,1,5.0,0
CU802431,2025-02-09,42,West,Basic,8.99,4,14.1,1,5,0,9,8.99,card,1,3.0,0
CU800707,2023-12-04,39,North,Standard,14.99,13,5.8,2,2,0,11,14.99,paypal,1,5.0,1
CU801692,2023-04-29,44,South,Premium,19.99,15,18.1,2,5,0,2,19.99,card,0,3.0,0
CU800232,2023-02-11,57,East,Basic,8.99,2,2.9,2,2,0,5,12.49,card,1,4.0,0
CU802573,2025-03-09,24,East,Basic,8.99,16,7.1,5,3,1,9,8.99,paypal,1,1.0,1
CU801259,2024-12-22,46,North,Premium,19.99,14,3.3,4,2,3,13,19.99,paypal,1,2.0,0
CU802260,2022-06-21,16,South,Standard,14.99,15,0.1,3,2,0,4,14.99,applepay,1,3.0,0
CU802095,2024-07-17,39,West,Basic,8.99,39,2.9,3,3,0,3,8.99,card,0,4.0,0
CU800876,2024-03-18,34,North,Standard,14.99,8,7.7,2,2,2,15,18.49,applepay,0,2.0,1
CU802004,2022-07-30,16,West,Basic,8.99,18,4.9,3,4,2,0,8.99,card,1,4.0,0
CU800956,2024-10-06,58,West,Standard,14.99,10,3.3,1,2,0,4,14.99,paypal,0,3.0,0
CU801231,2022-07-20,29,East,Basic,8.99,8,,2,4,3,15,8.99,applepay,1,,1
CU801500,2024-04-27,31,South,Standard,14.99,13,4.8,1,2,0,8,18.49,giftcard,0,2.0,0
CU800384,2024-11-18,25,North,Premium,19.99,22,5.0,3,3,1,13,19.99,applepay,1,2.0,0
CU801401,2023-02-20,35,South,Basic,8.99,11,6.2,1,2,0,4,12.49,card,0,4.0,0
CU800949,2023-12-19,25,West,Standard,14.99,17,2.8,3,3,2,8,18.49,card,1,4.0,0
CU801886,2023-06-06,35,South,Standard,14.99,13,13.1,4,4,2,5,14.99,card,1,4.0,0
CU801379,2024-01-17,40,East,Premium,19.99,9,3.5,1,4,1,12,23.49,card,1,4.0,0
CU801859,2022-06-08,51,east,Standard,14.99,21,3.5,2,1,0,9,18.49,card,0,3.0,0
CU800768,2024-08-06,30,North,Basic,8.99,29,12.0,1,3,1,0,8.99,paypal,1,4.0,0
CU801289,2022-12-19,39,South,Premium,19.99,21,8.8,1,1,2,2,19.99,card,0,,0
CU802248,2024-11-06,47,east,Standard,14.99,13,2.6,5,2,0,0,18.49,card,0,5.0,0
CU800446,2022-04-14,23,South,Basic,8.99,11,2.7,4,5,0,2,8.99,card,1,5.0,0
CU801900,2023-05-17,38,East,Standard,14.99,18,3.8,1,3,0,13,14.99,applepay,1,2.0,0
CU802472,2024-09-28,33,West,Premium,19.99,2,0.7,3,1,2,21,26.99,card,1,3.0,0
CU801675,2025-05-20,33,South,Standard,14.99,6,0.9,4,4,0,63,18.49,card,1,1.0,1
CU801046,2023-12-16,21,West,Standard,14.99,1,8.6,1,3,2,18,18.49,paypal,1,4.0,0
CU801769,2024-09-11,41,West,Basic,8.99,13,2.1,5,4,1,2,8.99,card,0,2.0,0
CU800192,2023-05-20,53,South,Basic,8.99,29,3.2,2,5,0,18,8.99,paypal,1,3.0,0
CU800959,2025-03-09,53,South,Premium,19.99,3,12.7,2,5,1,7,19.99,card,1,4.0,0
CU801989,2023-03-07,55,West,Basic,8.99,4,10.8,1,3,1,3,12.49,card,1,5.0,0
CU801191,2024-05-31,49,West,Standard,14.99,13,11.9,5,4,0,0,14.99,paypal,1,5.0,0
CU800973,2024-11-20,53,West,Basic,8.99,49,1.3,4,2,1,8,8.99,paypal,1,3.0,0
CU801218,2023-08-21,28,West,Premium,19.99,35,4.1,1,2,1,0,19.99,card,1,5.0,0
CU800035,2024-12-15,55,East,Premium,19.99,15,8.3,3,3,1,5,19.99,card,0,5.0,0
CU801176,2024-07-26,29,East,Basic,8.99,28,0.6,2,2,2,7,8.99,card,1,4.0,1
CU801849,2023-06-05,48,South,Premium,19.99,13,2.1,1,2,0,12,19.99,giftcard,1,3.0,0
CU801844,2022-11-15,47,West,Standard,14.99,34,0.8,1,1,0,17,14.99,card,1,5.0,0
CU801896,2023-05-29,44,North,Premium,19.99,20,14.8,3,2,0,4,19.99,card,0,4.0,0
CU801901,2025-05-06,39,west,Basic,8.99,7,2.1,1,5,0,0,8.99,giftcard,1,4.0,0
CU800832,2022-07-17,53,West,Standard,14.99,7,5.6,3,4,1,3,14.99,card,1,4.0,0
CU800369,2022-10-28,39,West,Basic,8.99,10,2.9,1,4,0,33,8.99,paypal,1,4.0,0
CU801713,2025-01-15,35,South,Basic,8.99,10,4.8,4,3,0,4,8.99,applepay,1,5.0,0
CU800822,2023-11-21,31,East,Standard,14.99,32,5.3,5,5,0,1,14.99,card,0,2.0,1
CU800175,2023-03-17,60,West,Basic,8.99,12,,4,7,1,0,8.99,card,1,1.0,0
CU802569,2023-11-14,31,South,Premium,19.99,6,4.8,4,4,2,8,23.49,giftcard,0,4.0,0
CU801307,2023-03-22,19,South,Standard,14.99,23,9.0,5,2,0,32,14.99,applepay,1,2.0,1
CU801090,2022-01-11,42,South,Standard,14.99,11,7.5,1,5,0,6,14.99,giftcard,1,,0
CU801718,2024-02-22,73,North,Standard,14.99,15,3.7,4,2,0,0,14.99,card,1,1.0,0
CU802592,2024-09-20,35,North,Standard,14.99,12,10.0,1,6,0,4,14.99,applepay,1,4.0,0
CU801693,2023-08-27,44,North,Standard,14.99,26,13.4,1,3,1,5,18.49,card,1,5.0,0
CU800643,2024-02-11,51,West,Standard,14.99,12,6.2,1,4,2,5,14.99,paypal,1,5.0,0
CU800695,2024-10-23,34,North,Basic,8.99,47,4.5,2,2,1,26,8.99,applepay,1,4.0,0
CU801250,2024-08-20,26,East,Premium,19.99,2,3.9,2,1,2,2,19.99,applepay,0,5.0,1
CU800351,2024-01-13,28,East,Standard,14.99,7,9.0,1,3,2,3,14.99,card,0,4.0,0
CU800563,2025-01-11,55,East,Standard,14.99,21,12.7,3,3,0,33,21.99,card,1,1.0,0
CU800993,2024-11-28,46,North,Basic,8.99,9,3.7,3,5,0,48,8.99,applepay,1,4.0,0
CU801113,2024-10-04,16,West,Standard,14.99,1,9.6,4,2,0,2,14.99,applepay,1,4.0,0
CU800519,2022-03-25,43,west,Standard,14.99,9,1.1,1,5,2,14,21.99,paypal,1,4.0,0
CU801890,2025-03-16,47,South,Premium,19.99,14,26.3,2,1,2,21,19.99,card,0,4.0,0
CU802151,2024-11-08,44,South,Basic,8.99,17,16.1,3,3,0,0,8.99,paypal,1,3.0,0
CU800906,2022-04-12,20,North,Basic,8.99,17,2.2,1,5,0,23,12.49,card,1,5.0,0
CU802117,2022-03-08,43,north,Standard,14.99,3,6.6,2,5,0,17,14.99,card,1,1.0,1
CU800107,2024-02-18,47,East,Standard,14.99,10,9.4,1,1,1,6,18.49,card,1,,0
CU801345,2024-09-20,16,North,Basic,8.99,18,5.5,1,1,0,5,12.49,card,1,1.0,1
CU800280,2025-03-25,16,South,Basic,8.99,5,5.4,3,2,1,34,8.99,card,0,4.0,1
CU802003,2024-03-26,35,West,Basic,8.99,16,18.5,2,1,0,4,8.99,applepay,1,2.0,0
CU802579,2023-04-06,45,South,Basic,8.99,15,4.5,2,2,0,9,12.49,card,1,4.0,0
CU801456,2022-01-03,18,West,Basic,8.99,23,5.3,4,2,1,28,8.99,card,1,2.0,0
CU801076,2022-12-25,24,South,Basic,8.99,26,14.1,3,3,1,4,8.99,card,0,4.0,0
CU802294,2024-05-05,36,East,Basic,8.99,24,11.0,2,2,1,6,8.99,applepay,1,4.0,0
CU801033,2023-11-05,43,East,Basic,8.99,7,2.9,3,3,0,4,12.49,card,1,2.0,0
CU802545,2024-10-10,56,South,Basic,8.99,41,0.5,1,6,1,5,8.99,card,1,3.0,0
CU801572,2022-08-30,33,South,Standard,14.99,4,1.2,2,2,2,1,14.99,giftcard,1,4.0,0
CU800904,2024-06-09,35,West,Basic,8.99,13,4.7,1,2,3,5,8.99,card,1,3.0,0
CU800154,2024-01-31,56,East,Standard,14.99,37,3.4,1,1,0,36,14.99,giftcard,1,1.0,1
CU801209,2024-07-29,33,West,Basic,8.99,8,9.6,5,5,0,8,8.99,card,0,4.0,0
CU801160,2022-09-14,53,West,Standard,14.99,6,11.0,4,5,0,0,18.49,paypal,0,3.0,0
CU801634,2023-09-29,16,North,Standard,14.99,16,0.5,3,1,1,33,14.99,card,1,4.0,0
CU800964,2022-02-19,35,North,Basic,8.99,15,2.4,4,2,2,17,15.99,card,0,5.0,0
CU800715,2024-02-25,41,South,Basic,8.99,3,14.2,3,3,0,12,8.99,giftcard,1,3.0,0
CU801214,2022-03-24,52,East,Standard,14.99,19,10.4,2,5,0,2,14.99,card,1,3.0,1
CU802161,2024-03-03,45,South,Standard,14.99,25,9.4,1,3,0,4,14.99,card,0,3.0,0
CU801540,2025-05-10,60,North,Standard,14.99,7,4.9,5,4,0,10,14.99,card,0,3.0,0
CU800721,2023-05-25,34,north,Basic,8.99,5,6.8,2,3,0,10,12.49,card,1,4.0,1
CU802586,2022-06-23,42,West,Basic,8.99,15,5.0,2,1,1,5,12.49,card,1,,0
CU802415,2022-12-29,19,North,Standard,14.99,27,8.2,2,5,0,5,14.99,card,1,4.0,0
CU800386,2023-02-07,53,North,Standard,14.99,12,5.3,2,1,1,23,18.49,applepay,0,4.0,1
CU800236,2023-01-04,41,North,Basic,8.99,22,15.6,2,4,0,7,8.99,paypal,1,3.0,0
CU801000,2022-06-02,34,North,Standard,14.99,3,5.9,2,4,0,4,18.49,card,0,4.0,1
CU801193,2023-11-26,47,North,Standard,14.99,17,15.6,1,2,0,0,14.99,applepay,1,3.0,0
CU800684,2022-05-10,30,East,Basic,8.99,19,1.6,3,5,2,13,12.49,card,1,4.0,0
CU801629,2022-10-29,43,South,Standard,14.99,40,11.9,3,5,0,13,14.99,applepay,1,5.0,0
CU801118,2023-02-08,53,South,Basic,8.99,14,1.6,5,4,1,10,8.99,card,1,3.0,0
CU800104,2025-03-14,29,West,Standard,14.99,20,0.1,1,2,1,2,14.99,giftcard,0,4.0,0
CU801662,2023-08-30,42,East,Standard,14.99,16,12.1,3,3,1,19,14.99,card,1,4.0,0
CU800303,2024-02-14,31,North,Standard,14.99,20,13.6,3,2,1,6,14.99,card,0,4.0,0
CU802201,2023-11-24,29,East,Basic,8.99,10,4.6,2,2,1,18,8.99,card,1,4.0,0
CU802430,2023-10-03,27,North,Standard,14.99,8,4.2,3,6,0,6,18.49,applepay,0,3.0,0
CU801057,2024-01-02,16,South,Basic,8.99,7,7.2,5,1,1,12,12.49,card,1,4.0,1
CU802028,2024-02-17,51,West,Premium,19.99,4,5.2,1,6,0,12,19.99,giftcard,1,3.0,0
CU802491,2022-10-19,41,south,Basic,8.99,20,1.3,2,6,0,26,8.99,card,1,5.0,0
CU800000,2024-11-23,41,south,Standard,14.99,2,10.5,3,3,1,2,14.99,paypal,1,2.0,0
CU800580,2024-12-06,36,West,Standard,14.99,6,5.6,5,2,2,4,18.49,card,0,,0
CU801119,2025-01-09,33,East,Standard,14.99,19,8.8,1,4,0,27,14.99,card,1,2.0,1
CU801421,2023-01-01,36,West,Basic,8.99,29,,1,3,0,5,8.99,card,1,3.0,0
CU800650,2023-07-18,22,East,Premium,19.99,2,11.5,1,1,3,5,19.99,paypal,1,5.0,0
CU801155,2023-06-11,36,East,Standard,14.99,8,6.5,4,2,1,3,14.99,card,1,5.0,0
CU802055,2023-05-21,18,North,Standard,14.99,12,5.4,1,5,2,8,14.99,card,0,2.0,0
CU800696,2023-09-15,26,South,Basic,8.99,27,6.0,2,3,0,3,12.49,card,1,1.0,0
CU800047,2022-07-18,29,East,Premium,19.99,10,5.6,4,4,0,17,19.99,applepay,1,5.0,0
CU800413,2022-02-26,42,South,Premium,19.99,19,5.3,1,4,3,9,19.99,paypal,1,3.0,0
CU801674,2024-10-19,32,East,Basic,8.99,29,2.8,1,1,0,0,8.99,card,1,4.0,0
CU802138,2024-05-21,25,West,Standard,14.99,2,3.3,5,7,0,0,14.99,card,1,2.0,1
CU802426,2023-09-05,39,North,Basic,8.99,4,14.5,2,1,3,2,15.99,card,1,4.0,0
CU800459,2022-10-15,46,South,Premium,19.99,11,2.8,4,5,0,0,19.99,card,0,1.0,0
CU800441,2023-02-28,41,West,Premium,19.99,19,8.1,1,3,1,6,19.99,card,1,5.0,0
CU800430,2024-12-24,43,West,Basic,8.99,16,0.6,3,3,2,15,8.99,card,1,,0
CU801330,2025-05-02,41,North,Standard,14.99,1,11.9,1,3,1,0,18.49,applepay,1,4.0,0
CU802390,2022-04-18,45,West,Standard,14.99,14,4.9,1,1,1,5,14.99,card,0,4.0,0
CU801071,2022-09-18,53,East,Standard,14.99,12,9.7,1,4,0,36,14.99,card,0,5.0,0
CU802256,2023-09-17,33,South,Basic,8.99,17,1.0,1,2,0,9,12.49,applepay,1,3.0,1
CU800045,2022-07-30,34,North,Standard,14.99,3,2.4,2,2,0,12,14.99,applepay,1,,1
CU800955,2022-05-09,41,North,Standard,14.99,10,6.2,4,3,0,1,14.99,card,1,3.0,0
CU801632,2024-03-17,34,South,Standard,14.99,9,10.1,3,4,0,0,14.99,giftcard,1,2.0,0
CU801226,2022-07-21,30,South,Premium,19.99,8,6.8,2,4,2,3,23.49,card,1,3.0,0
CU802455,2022-07-01,46,South,Standard,14.99,2,15.3,2,1,1,10,14.99,card,1,3.0,0
CU801823,2025-01-24,47,North,Premium,19.99,10,3.2,3,2,0,5,23.49,card,1,,0
CU801373,2024-05-09,31,South,Basic,8.99,25,5.0,2,7,0,15,8.99,paypal,1,4.0,0
CU801391,2022-11-08,52,East,Premium,19.99,11,4.9,2,3,1,5,19.99,card,1,5.0,0
CU800636,2025-03-17,52,North,Premium,19.99,3,6.2,3,1,2,5,19.99,applepay,1,5.0,1
CU800451,2024-06-20,21,East,Premium,19.99,16,5.7,3,5,1,2,19.99,card,1,4.0,0
CU801208,2022-03-09,29,North,Basic,8.99,20,5.4,2,4,0,0,8.99,applepay,0,2.0,0
